filepath,title,label
./cifar_10_20211007/train/1/2519.png,a black and white photo of a automobile.,1
./cifar_10_20211007/train/1/2193.png,a bad photo of a automobile.,1
./cifar_10_20211007/train/6/449.png,a bad photo of the frog.,6
./cifar_10_20211007/train/0/2381.png,a high contrast photo of the airplane.,0
./cifar_10_20211007/train/4/924.png,a bad photo of the deer.,4
./cifar_10_20211007/train/7/3744.png,a blurry photo of the horse.,7
./cifar_10_20211007/train/2/1331.png,a blurry photo of the bird.,2
./cifar_10_20211007/train/8/3529.png,a photo of a ship.,8
./cifar_10_20211007/train/0/1101.png,a high contrast photo of the airplane.,0
./cifar_10_20211007/train/1/3151.png,a blurry photo of the automobile.,1
./cifar_10_20211007/train/2/2125.png,a black and white photo of a bird.,2
./cifar_10_20211007/train/7/4995.png,a blurry photo of a horse.,7
./cifar_10_20211007/train/8/3161.png,a blurry photo of a ship.,8
./cifar_10_20211007/train/4/364.png,a blurry photo of a deer.,4
./cifar_10_20211007/train/0/1573.png,a high contrast photo of a airplane.,0
./cifar_10_20211007/train/3/2666.png,a photo of the cat.,3
./cifar_10_20211007/train/6/1836.png,a good photo of the frog.,6
./cifar_10_20211007/train/3/2366.png,a bad photo of a cat.,3
./cifar_10_20211007/train/8/1930.png,a good photo of the ship.,8
./cifar_10_20211007/train/7/4423.png,a photo of the small horse.,7
./cifar_10_20211007/train/7/1148.png,a high contrast photo of the horse.,7
./cifar_10_20211007/train/3/1032.png,a blurry photo of the cat.,3
./cifar_10_20211007/train/2/2162.png,a bad photo of the bird.,2
./cifar_10_20211007/train/9/1041.png,a black and white photo of the truck.,9
./cifar_10_20211007/train/7/2316.png,a black and white photo of a horse.,7
./cifar_10_20211007/train/8/864.png,a high contrast photo of the ship.,8
./cifar_10_20211007/train/4/1896.png,a low contrast photo of the deer.,4
./cifar_10_20211007/train/5/2169.png,a photo of a small dog.,5
./cifar_10_20211007/train/6/1525.png,a low contrast photo of a frog.,6
./cifar_10_20211007/train/5/2110.png,a high contrast photo of the dog.,5
./cifar_10_20211007/train/3/4766.png,a bad photo of the cat.,3
./cifar_10_20211007/train/3/2477.png,a high contrast photo of a cat.,3
./cifar_10_20211007/train/4/2839.png,a bad photo of a deer.,4
./cifar_10_20211007/train/0/1002.png,a low contrast photo of a airplane.,0
./cifar_10_20211007/train/3/1291.png,a bad photo of a cat.,3
